,Item_Code,Item_Type,Item_Fat_Content,Item_Type_Cluster,Is_Misc_Item,Item_MRP,Mean_LogSale_per_Item_Identifier,Mean_LogSale_per_Outlet_Identifier,Mean_LogSale_per_Item_Profile,Sales_to_MRP,Item_Profile,Outlet_Type,Outlet_Age,Item_Profile_Freq_Bin,Median_Log_Sales_ItemCluster_OutletType,Median_Log_Sales_per_Outlet,Median_Log_Sales_per_Item_Cluster,Median_Log_Sales_per_ItemProfile_OutletType,MRP_per_Year,Median_Log_Sales_Per_City_Tier,Median_MRP_ItemType_Per_Tier,MRP_Deviation_From_Tier_Median,Abs_MRP_Deviation,Median_Log_Sales_per_Item_OutletType,Median_Sales_per_Item_OutletType
2258,2,9,0,2,0,41.9796,5.66240596488808,7.539597872515122,7.345772993646435,18.68317944906573,15,1,26,0,7.661010252118305,7.584319360533787,7.550937125130511,7.716940685013205,1.6145999999999998,7.305455015205315,151.4195,-109.4399,109.4399,7.716940685013205,2245.0776
7496,1,4,1,3,0,240.6222,7.886007811625415,7.464363843279843,7.344685351703342,11.92020686370584,7,1,38,0,7.609222379182855,7.626403080219326,7.494797222203446,7.6200566468552,6.332163157894737,7.502907590270665,151.934,88.6882,88.6882,7.571016267748703,1940.1412
3290,2,9,0,2,0,115.2176,7.591475850120384,7.545309431231203,7.3503441987098865,27.829887100581868,15,1,18,0,7.661010252118305,7.603926109403291,7.550937125130511,7.716940685013205,6.400977777777778,7.60342826700307,156.4656,-41.24799999999999,41.24799999999999,7.716940685013205,2245.0776
582,1,5,0,4,0,212.0928,8.127290815366962,7.341617482908678,7.249239307292764,12.895800328912634,8,2,16,0,7.417477939024452,7.41226797690749,7.49294468503679,7.408375753103087,13.2558,7.502907590270665,129.431,82.6618,82.6618,7.408375753103087,1648.8537
4989,1,3,1,4,0,88.6198,6.5654264860941325,7.513776265299001,7.37314141891374,17.715639168673366,6,1,28,0,7.583980893998901,7.573942169284693,7.49294468503679,7.617270716092915,3.164992857142857,7.305455015205315,141.3838,-52.76400000000001,52.76400000000001,7.617270716092915,2032.0216
7910,1,13,1,4,0,150.8708,7.31999828743345,7.4836806477602815,7.36003598848004,15.95757959790762,12,1,28,0,7.583980893998901,7.573942169284693,7.49294468503679,7.644097476216769,5.388242857142857,7.305455015205315,147.5247,3.346100000000007,3.346100000000007,7.644097476216769,2087.283
896,1,5,1,4,0,178.437,7.842196003888505,7.451082142602913,7.285824669244764,5.932749373728542,8,1,23,0,7.583980893998901,7.515314505368987,7.49294468503679,7.525417416584517,7.758130434782609,7.60342826700307,141.5838,36.853200000000015,36.853200000000015,7.525417416584517,1853.5872
8103,1,4,0,3,0,33.4874,6.176286817031783,7.305528207619562,7.356158082442826,3.161254680865041,7,2,16,0,7.40054152720949,7.41226797690749,7.494797222203446,7.518573014275955,2.0929625,7.502907590270665,151.934,-118.4466,118.4466,7.360287162315832,1571.288
266,1,5,0,4,0,43.3454,6.112602702999148,7.4773228928017215,7.249239307292764,23.224831239301054,8,1,38,0,7.583980893998901,7.626403080219326,7.49294468503679,7.525417416584517,1.1406684210526314,7.502907590270665,129.431,-86.08560000000001,86.08560000000001,7.525417416584517,1853.5872
42,1,13,0,4,0,192.9136,8.178734244926744,7.514959487516445,7.353094745785227,13.10108152043194,12,1,26,0,7.583980893998901,7.584319360533787,7.49294468503679,7.644097476216769,7.419753846153847,7.305455015205315,147.5247,45.38890000000001,45.38890000000001,7.644097476216769,2087.283
3664,1,4,1,3,0,88.3856,7.099611014057713,7.589657249124998,7.331805396597066,14.915144548433227,7,1,21,0,7.609222379182855,7.654563787922667,7.494797222203446,7.6200566468552,4.208838095238095,7.60342826700307,150.03789999999998,-61.65229999999998,61.65229999999998,7.571016267748703,1940.1412
284,1,6,0,3,0,190.3846,8.075155373365547,5.5465157218332095,7.330424462937938,3.01103030392164,9,0,40,0,5.542578758317674,5.584702693357622,7.494797222203446,5.518827497791328,4.759615,7.305455015205315,148.2418,42.1428,42.1428,5.518827497791328,248.3434
2539,1,5,0,4,0,209.9928,8.575147690737527,7.549659490047381,7.241839213755741,25.04762068032807,8,1,21,0,7.583980893998901,7.654563787922667,7.49294468503679,7.525417416584517,9.999657142857142,7.60342826700307,141.5838,68.40899999999999,68.40899999999999,7.525417416584517,1853.5872
4206,0,4,0,3,0,171.5764,7.678777529132782,7.448250849711377,6.983894975575991,27.0314728599038,0,1,23,0,7.609222379182855,7.515314505368987,7.494797222203446,7.265721054029824,7.45984347826087,7.60342826700307,150.03789999999998,21.538500000000028,21.538500000000028,7.571016267748703,1940.1412
1936,1,15,1,4,0,80.896,7.458220942917623,7.530050480329019,7.342270837339805,11.851661392405058,13,1,18,0,7.583980893998901,7.603926109403291,7.49294468503679,7.711279793680513,4.494222222222223,7.60342826700307,127.102,-46.206,46.206,7.711279793680513,2232.4274
7534,1,0,0,4,0,43.3086,6.036452944807719,8.039122097700634,7.214484790494008,14.42023985998162,3,3,40,0,8.122652592960296,8.121466470910779,7.49294468503679,8.054386259708407,1.082715,7.502907590270665,119.744,-76.4354,76.4354,8.054386259708407,3146.5708
618,1,4,1,3,0,79.5986,7.080437201783823,7.503081472894519,7.357203046570015,11.743714085423616,7,1,38,0,7.609222379182855,7.626403080219326,7.494797222203446,7.6200566468552,2.0947,7.502907590270665,151.934,-72.33539999999999,72.33539999999999,7.571016267748703,1940.1412
4358,1,5,0,4,0,138.118,6.919615665639135,7.514959487516445,7.2346129455711905,14.172316425085793,8,1,26,0,7.583980893998901,7.584319360533787,7.49294468503679,7.525417416584517,5.312230769230769,7.305455015205315,122.4598,15.658199999999994,15.658199999999994,7.525417416584517,1853.5872
1288,1,13,0,4,0,142.6496,8.16831238918636,7.465883746184298,7.374825138247131,12.863301404280138,12,1,23,0,7.583980893998901,7.515314505368987,7.49294468503679,7.644097476216769,6.20215652173913,7.60342826700307,143.8102,-1.1606000000000165,1.1606000000000165,7.644097476216769,2087.283
6118,2,8,0,2,0,186.6214,8.39382016266747,7.4805229744783714,7.227665745166139,12.115742353234944,14,1,38,0,7.661010252118305,7.626403080219326,7.550937125130511,7.576504228617177,4.911089473684211,7.502907590270665,125.9533,60.6681,60.6681,7.576504228617177,1950.794
2720,1,1,0,4,0,128.2994,7.241119489559336,7.514959487516445,7.308148423491019,21.032735928616965,4,1,26,0,7.583980893998901,7.584319360533787,7.49294468503679,7.591680300741563,4.934592307692308,7.305455015205315,145.7444,-17.44500000000002,17.44500000000002,7.591680300741563,1980.755
7059,1,3,1,4,0,153.8314,7.111062812733236,5.546156483390481,7.37314141891374,1.0084508104327206,6,0,27,0,5.558089741325828,5.526809787121378,7.49294468503679,5.658185905529179,5.69745925925926,7.502907590270665,123.0059,30.825500000000005,30.825500000000005,5.658185905529179,285.6282
64,1,13,0,4,0,255.8356,8.217537559046109,8.040429555045952,7.36003598848004,9.941368597646298,12,3,40,0,8.122652592960296,8.121466470910779,7.49294468503679,8.167469346797978,6.39589,7.502907590270665,147.5102,108.3254,108.3254,8.167469346797978,3523.4136
389,0,14,0,0,0,150.5024,8.114752967352704,7.497239398596627,7.219593462642982,17.146841512161934,2,1,28,0,7.468544092939159,7.573942169284693,7.383310345446207,7.444698686167708,5.3750857142857145,7.305455015205315,144.3128,6.189599999999984,6.189599999999984,7.444698686167708,1709.7744
7255,1,6,1,3,0,173.6422,7.761210486177371,7.503081472894519,7.370515187365858,2.9792677125721743,9,1,38,0,7.609222379182855,7.626403080219326,7.494797222203446,7.626406450193304,4.569531578947369,7.502907590270665,132.8626,40.779600000000016,40.779600000000016,7.626406450193304,2050.664
6494,0,14,0,0,0,185.3924,6.975028470633438,7.341617482908678,7.219593462642982,1.9967636213782225,2,2,16,0,7.433328616560531,7.41226797690749,7.383310345446207,7.302543484890929,11.587025,7.502907590270665,144.6773,40.71510000000001,40.71510000000001,7.302543484890929,1488.063
5126,1,0,0,4,0,127.2362,6.847920052206682,7.305528207619562,7.181712986424338,12.856958947217851,3,2,16,0,7.417477939024452,7.41226797690749,7.49294468503679,7.338873873524341,7.9522625,7.502907590270665,119.744,7.492199999999997,7.492199999999997,7.338873873524341,1538.3309
7093,1,0,0,4,0,54.5956,7.096557882237345,7.513776265299001,7.147534529590462,18.999999999999996,3,1,28,0,7.583980893998901,7.573942169284693,7.49294468503679,7.47630269409516,1.949842857142857,7.305455015205315,107.2938,-52.69820000000001,52.69820000000001,7.47630269409516,1764.7029
6789,1,13,1,4,0,179.766,7.877105838207464,7.334569399502874,7.375470956453296,32.99999999999998,12,2,16,0,7.417477939024452,7.41226797690749,7.49294468503679,7.534967635573844,11.235375,7.502907590270665,147.5102,32.255799999999994,32.255799999999994,7.534967635573844,1871.5638
7461,1,3,0,4,0,108.0254,7.906228581235831,7.572055538390191,7.37314141891374,7.032399787457392,6,1,21,0,7.583980893998901,7.654563787922667,7.49294468503679,7.617270716092915,5.144066666666667,7.60342826700307,143.1654,-35.14,35.14,7.617270716092915,2032.0216
6037,1,15,0,4,0,34.0532,6.103090113483585,5.566348390394138,7.441759935706523,5.278975250490409,13,0,27,0,5.558089741325828,5.526809787121378,7.49294468503679,5.2262433245553,1.2612296296296297,7.502907590270665,171.3448,-137.2916,137.2916,5.2262433245553,185.0924
5566,0,7,0,0,0,38.3506,5.59950246871776,7.451082142602913,7.307769813980051,25.72881780206829,1,1,23,0,7.468544092939159,7.515314505368987,7.383310345446207,7.512409112249449,1.6674173913043475,7.60342826700307,145.8918,-107.5412,107.5412,7.512409112249449,1829.6184
1065,2,8,0,2,0,35.7532,6.498982212614379,5.533153601523527,7.19750001102729,4.022375619524966,14,0,27,0,5.662296710546384,5.526809787121378,7.550937125130511,5.583452698808242,1.3241925925925926,7.502907590270665,125.9533,-90.2001,90.2001,5.583452698808242,264.9884
2627,1,5,0,4,0,195.911,8.106757641317422,7.542041168091658,7.236175194377211,15.038282689588636,8,1,26,0,7.583980893998901,7.584319360533787,7.49294468503679,7.525417416584517,7.535038461538462,7.305455015205315,122.4598,73.4512,73.4512,7.525417416584517,1853.5872
7831,1,3,1,4,0,183.5924,7.745764304969914,7.545309431231203,7.37314141891374,13.106213546965996,6,1,18,0,7.583980893998901,7.603926109403291,7.49294468503679,7.617270716092915,10.199577777777778,7.60342826700307,143.1654,40.42699999999999,40.42699999999999,7.617270716092915,2032.0216
6363,1,10,1,3,0,102.599,6.904567555322949,7.497239398596627,7.284249183209096,16.093568163432394,10,1,28,0,7.609222379182855,7.573942169284693,7.494797222203446,7.60872716652003,3.66425,7.305455015205315,140.318,-37.71900000000001,37.71900000000001,7.60872716652003,2014.7108
3031,2,9,0,2,0,264.791,7.835063439367003,7.448250849711377,7.335696684322737,7.945617486999182,15,1,23,0,7.661010252118305,7.515314505368987,7.550937125130511,7.716940685013205,11.512652173913043,7.60342826700307,156.4656,108.3254,108.3254,7.716940685013205,2245.0776
2948,1,6,0,3,0,99.7042,6.853717153508446,8.010825440111935,7.353084142897137,38.804421478734085,9,3,40,0,8.191943178961345,8.121466470910779,7.494797222203446,8.293491502175813,2.492605,7.502907590270665,132.8626,-33.158399999999986,33.158399999999986,8.293491502175813,3996.7974
2070,1,3,1,4,0,89.0488,6.771155788260411,7.454404589071041,7.374195058197344,2.033689392782384,6,1,38,0,7.583980893998901,7.626403080219326,7.49294468503679,7.617270716092915,2.3433894736842107,7.502907590270665,123.0059,-33.9571,33.9571,7.617270716092915,2032.0216
2145,1,0,0,4,0,156.6288,7.681063447386949,7.542041168091658,7.194959824287667,25.07980652344907,3,1,26,0,7.583980893998901,7.584319360533787,7.49294468503679,7.47630269409516,6.024184615384616,7.305455015205315,107.2938,49.33500000000001,49.33500000000001,7.47630269409516,1764.7029
3047,1,5,1,4,0,191.7846,7.447613460601,5.546156483390481,7.285824669244764,1.992700143807168,8,0,27,0,5.558089741325828,5.526809787121378,7.49294468503679,5.438232340691498,7.103133333333334,7.502907590270665,129.431,62.3536,62.3536,5.438232340691498,229.0352
4092,1,6,0,3,0,162.8894,8.081502898426065,7.362077913097834,7.370515187365858,3.9729878064502655,9,2,16,0,7.40054152720949,7.41226797690749,7.494797222203446,7.374582117567543,10.1805875,7.502907590270665,132.8626,30.02680000000001,30.02680000000001,7.374582117567543,1593.9252
5502,2,8,0,2,0,193.0794,7.907455308187374,7.572055538390191,7.227665745166139,20.20716865703953,14,1,21,0,7.661010252118305,7.654563787922667,7.550937125130511,7.576504228617177,9.194257142857143,7.60342826700307,129.2626,63.8168,63.8168,7.576504228617177,1950.794
2836,1,1,1,4,0,84.6908,7.387510057312841,7.513776265299001,7.324291236205294,5.943323241721649,4,1,28,0,7.583980893998901,7.573942169284693,7.49294468503679,7.591680300741563,3.024671428571428,7.305455015205315,145.7444,-61.05360000000002,61.05360000000002,7.591680300741563,1980.755
360,0,7,0,0,0,178.566,7.871593927223677,7.362077913097834,7.340524107753127,5.033601021471052,1,2,16,0,7.433328616560531,7.41226797690749,7.383310345446207,7.681210126057218,11.160375,7.502907590270665,154.4498,24.116199999999992,24.116199999999992,7.681210126057218,2167.5119
7500,0,14,0,0,0,161.1236,7.42351209545061,7.334569399502874,7.186834832588451,4.000000000000001,2,2,16,0,7.433328616560531,7.41226797690749,7.383310345446207,7.302543484890929,10.070225,7.502907590270665,144.6773,16.446300000000008,16.446300000000008,7.302543484890929,1488.063
7680,2,11,0,1,1,84.0908,6.998610833605689,7.4836806477602815,7.110148849579769,4.98810809268077,16,1,28,0,7.65991307366622,7.573942169284693,7.447033773284233,7.65991307366622,3.0032428571428573,7.305455015205315,142.08120000000002,-57.99040000000002,57.99040000000002,7.65991307366622,2120.573
5243,2,9,0,2,0,46.9718,4.419200213223805,7.503790504059262,7.342334633911306,18.11496259457802,15,1,18,0,7.661010252118305,7.603926109403291,7.550937125130511,7.716940685013205,2.6095444444444444,7.60342826700307,156.4656,-109.4938,109.4938,7.716940685013205,2245.0776
1318,1,6,0,3,0,160.7262,7.521394106342029,7.549659490047381,7.327570953546424,17.820813283708564,9,1,21,0,7.609222379182855,7.654563787922667,7.494797222203446,7.626406450193304,7.6536285714285714,7.60342826700307,147.6418,13.084400000000016,13.084400000000016,7.626406450193304,2050.664
3127,0,7,0,0,0,113.3834,6.752446990362357,7.542041168091658,7.340524107753127,18.285756115974653,1,1,26,0,7.468544092939159,7.584319360533787,7.383310345446207,7.512409112249449,4.3609,7.305455015205315,127.3849,-14.001500000000007,14.001500000000007,7.512409112249449,1829.6184
3972,0,14,0,0,0,147.2102,7.755323045798466,7.514959487516445,7.229787706737833,12.876367262594576,2,1,26,0,7.468544092939159,7.584319360533787,7.383310345446207,7.444698686167708,5.661930769230769,7.305455015205315,144.3128,2.897399999999976,2.897399999999976,7.444698686167708,1709.7744
203,1,0,0,4,0,177.937,7.595964420021192,8.024200479454251,7.172191719974118,37.6796619028083,3,3,40,0,8.122652592960296,8.121466470910779,7.49294468503679,8.054386259708407,4.448425,7.502907590270665,119.744,58.19300000000001,58.19300000000001,8.054386259708407,3146.5708
7794,1,5,0,4,0,147.805,7.164500077520719,7.573811673196162,7.236175194377211,13.175907445620924,8,1,21,0,7.583980893998901,7.654563787922667,7.49294468503679,7.525417416584517,7.038333333333334,7.60342826700307,141.5838,6.22120000000001,6.22120000000001,7.525417416584517,1853.5872
1195,1,6,1,3,0,50.2034,6.60090910827758,7.542041168091658,7.370515187365858,23.235111566148912,9,1,26,0,7.609222379182855,7.584319360533787,7.494797222203446,7.626406450193304,1.9309,7.305455015205315,148.2418,-98.0384,98.0384,7.626406450193304,2050.664
2603,1,12,0,3,0,53.2982,6.396263120100207,7.472976498600231,7.327397505078655,13.81612887489634,11,1,23,0,7.609222379182855,7.515314505368987,7.494797222203446,7.856921929279074,2.317313043478261,7.60342826700307,153.5827,-100.28449999999998,100.28449999999998,7.856921929279074,2582.6382
6987,1,6,0,3,0,216.1166,7.350612137158102,7.573811673196162,7.370515187365858,23.170278451539595,9,1,21,0,7.609222379182855,7.654563787922667,7.494797222203446,7.626406450193304,10.291266666666669,7.60342826700307,147.6418,68.47480000000002,68.47480000000002,7.626406450193304,2050.664
4926,1,13,0,4,0,163.6868,8.05093717711757,5.533153601523527,7.36003598848004,1.0006109228111246,12,0,27,0,5.558089741325828,5.526809787121378,7.49294468503679,5.738475573655711,6.062474074074074,7.502907590270665,147.5102,16.176600000000008,16.176600000000008,5.738475573655711,309.597
3248,1,3,1,4,0,265.7884,7.865616835596207,7.472976498600231,7.360147735140188,14.954851302765649,6,1,23,0,7.583980893998901,7.515314505368987,7.49294468503679,7.617270716092915,11.55601739130435,7.60342826700307,143.1654,122.62300000000002,122.62300000000002,7.617270716092915,2032.0216
5268,0,7,0,0,0,188.9872,8.11255994065597,7.506569377653555,7.234096076606178,7.003703954553534,1,1,18,0,7.468544092939159,7.603926109403291,7.383310345446207,7.512409112249449,10.49928888888889,7.60342826700307,145.8918,43.09540000000001,43.09540000000001,7.512409112249449,1829.6184
6303,1,4,1,3,0,48.7692,6.788797854000482,7.305528207619562,7.356158082442826,16.164037958383567,7,2,16,0,7.40054152720949,7.41226797690749,7.494797222203446,7.518573014275955,3.048075,7.502907590270665,151.934,-103.1648,103.1648,7.360287162315832,1571.288
2559,1,13,1,4,0,177.0344,7.277730337042623,7.4773228928017215,7.374825138247131,3.0237242027538143,12,1,38,0,7.583980893998901,7.626403080219326,7.49294468503679,7.644097476216769,4.6588,7.502907590270665,147.5102,29.524200000000008,29.524200000000008,7.644097476216769,2087.283
4058,2,8,0,2,0,150.1708,7.179480956102364,7.531111528493944,7.227665745166139,18.03595905462314,14,1,26,0,7.661010252118305,7.584319360533787,7.550937125130511,7.576504228617177,5.7758,7.305455015205315,130.3468,19.82400000000001,19.82400000000001,7.576504228617177,1950.794
2466,1,10,1,3,0,223.5404,8.449694266205645,7.501098700914035,7.283695193338166,8.05368157165327,10,1,28,0,7.609222379182855,7.573942169284693,7.494797222203446,7.60872716652003,7.983585714285715,7.305455015205315,140.318,83.2224,83.2224,7.60872716652003,2014.7108
2177,1,3,0,4,0,120.544,7.019489727389465,5.581046359243091,7.37314141891374,3.97677196708256,6,0,40,0,5.558089741325828,5.584702693357622,7.49294468503679,5.658185905529179,3.0136,7.305455015205315,141.3838,-20.83980000000001,20.83980000000001,5.658185905529179,285.6282
3090,1,2,0,4,0,232.3326,8.298145037760047,7.4805229744783714,7.148885644949608,10.93845030787758,5,1,38,0,7.583980893998901,7.626403080219326,7.49294468503679,7.538288162813226,6.114015789473685,7.502907590270665,157.663,74.6696,74.6696,7.538288162813226,1877.8889
8352,2,8,0,2,0,33.2874,5.918950543085397,7.362077913097834,7.262269066161278,19.081490293624608,14,2,16,0,7.396874044354185,7.41226797690749,7.550937125130511,7.373620826123089,2.0804625,7.502907590270665,125.9533,-92.6659,92.6659,7.373620826123089,1592.5936000000002
4520,1,6,0,3,0,120.0756,7.886655619497688,7.505268090848811,7.370515187365858,19.17405701074989,9,1,28,0,7.609222379182855,7.573942169284693,7.494797222203446,7.626406450193304,4.2884142857142855,7.305455015205315,148.2418,-28.166200000000018,28.166200000000018,7.626406450193304,2050.664
7889,1,5,1,4,0,124.2362,7.708149548434902,5.537878967531135,7.2346129455711905,3.0386360819149343,8,0,27,0,5.558089741325828,5.526809787121378,7.49294468503679,5.438232340691498,4.60134074074074,7.502907590270665,129.431,-5.194800000000015,5.194800000000015,5.438232340691498,229.0352
8306,1,4,0,3,0,124.373,7.364510950740303,7.514959487516445,7.344685351703342,16.83597726194592,7,1,26,0,7.609222379182855,7.584319360533787,7.494797222203446,7.6200566468552,4.783576923076923,7.305455015205315,145.0128,-20.639799999999997,20.639799999999997,7.571016267748703,1940.1412
4356,0,7,0,0,0,127.1336,6.693754755271619,7.464363843279843,7.261518633865937,28.154168528225423,1,1,38,0,7.468544092939159,7.626403080219326,7.383310345446207,7.512409112249449,3.345621052631579,7.502907590270665,154.4498,-27.31620000000001,27.31620000000001,7.512409112249449,1829.6184
3834,1,3,0,4,0,114.1492,6.894546977431341,7.572055538390191,7.37314141891374,10.148927894369828,6,1,21,0,7.583980893998901,7.654563787922667,7.49294468503679,7.617270716092915,5.43567619047619,7.60342826700307,143.1654,-29.01620000000001,29.01620000000001,7.617270716092915,2032.0216
4369,1,0,0,4,0,177.866,7.799595080122888,7.497239398596627,7.172191719974118,6.064093193752598,3,1,28,0,7.583980893998901,7.573942169284693,7.49294468503679,7.47630269409516,6.352357142857144,7.305455015205315,107.2938,70.57220000000001,70.57220000000001,7.47630269409516,1764.7029
6876,1,13,0,4,0,183.7924,8.061328252098068,7.472976498600231,7.373886730860339,14.099024769250532,12,1,23,0,7.583980893998901,7.515314505368987,7.49294468503679,7.644097476216769,7.990973913043478,7.60342826700307,143.8102,39.98219999999998,39.98219999999998,7.644097476216769,2087.283
6722,1,3,0,4,0,253.7014,7.732367076583309,7.448250849711377,7.374195058197344,23.117855084757117,6,1,23,0,7.583980893998901,7.515314505368987,7.49294468503679,7.617270716092915,11.030495652173911,7.60342826700307,143.1654,110.536,110.536,7.617270716092915,2032.0216
3950,1,2,0,4,0,230.2326,8.298145037760047,5.546156483390481,7.148885644949608,3.0104242405289257,5,0,27,0,5.558089741325828,5.526809787121378,7.49294468503679,5.868940917571483,8.527133333333333,7.502907590270665,157.663,72.56959999999998,72.56959999999998,5.868940917571483,352.874
1404,1,5,1,4,0,54.564,6.766410388957295,7.501098700914035,7.2346129455711905,29.285243017374093,8,1,28,0,7.583980893998901,7.573942169284693,7.49294468503679,7.525417416584517,1.9487142857142856,7.305455015205315,122.4598,-67.89580000000001,67.89580000000001,7.525417416584517,1853.5872
2653,1,4,0,3,0,182.3292,7.291708582830414,7.545309431231203,7.368330699816161,23.01261454555828,7,1,18,0,7.609222379182855,7.603926109403291,7.494797222203446,7.6200566468552,10.1294,7.60342826700307,150.03789999999998,32.29130000000001,32.29130000000001,7.571016267748703,1940.1412
117,1,13,0,4,0,109.0228,7.101177602584463,7.549659490047381,7.36003598848004,23.316447568765422,12,1,21,0,7.583980893998901,7.654563787922667,7.49294468503679,7.644097476216769,5.191561904761905,7.60342826700307,143.8102,-34.787400000000005,34.787400000000005,7.644097476216769,2087.283
5725,2,8,0,2,0,65.6168,6.644116807138699,7.4836806477602815,7.19750001102729,12.66319601077773,14,1,28,0,7.661010252118305,7.573942169284693,7.550937125130511,7.576504228617177,2.343457142857143,7.305455015205315,130.3468,-64.73,64.73,7.576504228617177,1950.794
5454,2,9,0,2,0,220.5456,7.590060593094335,7.362077913097834,7.340016325695475,14.031739467937683,15,2,16,0,7.396874044354185,7.41226797690749,7.550937125130511,7.46778378173908,13.7841,7.502907590270665,153.7498,66.79580000000001,66.79580000000001,7.46778378173908,1749.7224
7769,1,3,0,4,0,58.9246,7.068241770986312,7.341617482908678,7.35933000338352,15.728466548775897,6,2,16,0,7.417477939024452,7.41226797690749,7.49294468503679,7.332594075194753,3.6827875,7.502907590270665,123.0059,-64.0813,64.0813,7.332594075194753,1528.3438999999998
1763,1,13,1,4,0,124.5704,7.438452129997612,7.316777715354307,7.353094745785227,8.03853242824941,12,2,16,0,7.417477939024452,7.41226797690749,7.49294468503679,7.534967635573844,7.78565,7.502907590270665,147.5102,-22.93979999999999,22.93979999999999,7.534967635573844,1871.5638
